City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,14.54,81,57,1.79,ZA,1698036258
1,surat thani,9.1667,99.25,31.23,87,20,6.71,TH,1698036259
2,karratha,-20.7377,116.8463,36.61,20,42,4.97,AU,1698036259
3,port-aux-francais,-49.35,70.2167,1.88,75,90,12.71,TF,1698036260
4,bredasdorp,-34.5322,20.0403,15.49,73,100,2.33,ZA,1698036260
5,talnakh,69.4865,88.3972,-1.55,89,100,6.23,RU,1698036261
6,grytviken,-54.2811,-36.5092,-0.5,83,22,4.69,GS,1698036067
7,blackmans bay,-43.0167,147.3167,19.18,66,71,1.79,AU,1698036262
8,tiksi,71.6872,128.8694,-8.85,97,100,2.57,RU,1698036263
9,kone,-21.0595,164.8658,25.99,53,49,4.26,NC,1698036263
10,st. john's,47.5649,-52.7093,8.87,96,100,6.17,CA,1698036143
11,anadyr,64.75,177.4833,4.28,100,40,10.0,RU,1698036265
12,margaret river,-33.95,115.0667,16.56,47,88,6.8,AU,1698036265
13,rikaze,29.25,88.8833,7.92,22,0,1.08,CN,1698036266
14,north logan,41.7694,-111.8047,17.54,48,94,0.45,US,1698036266
15,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,53,40,4.0,RU,1698036267
16,kishorganj,24.4333,90.7667,27.62,71,100,1.75,BD,1698036268
17,prado,-17.3411,-39.2208,22.42,83,100,3.6,BR,1698036268
18,puerto armuelles,8.2833,-82.8667,27.27,72,100,2.24,PA,1698036131
19,puerto natales,-51.7236,-72.4875,2.25,87,20,2.57,CL,1698036269
20,adamstown,-25.066,-130.1015,22.84,80,32,4.45,PN,1698036270
21,klyuchi,52.2667,79.1667,1.62,64,100,12.2,RU,1698036270
22,inhambane,-23.865,35.3833,22.99,88,75,5.36,MZ,1698036271
23,port shepstone,-30.7414,30.455,16.43,67,2,2.02,ZA,1698036271
24,boguchany,58.3814,97.4531,5.6,55,98,4.45,RU,1698036272
25,katsuura,35.1333,140.3,20.5,52,91,2.94,JP,1698036273
26,hammerfest,70.6634,23.6821,0.25,69,40,3.09,NO,1698036273
27,isla mujeres,21.2311,-86.731,24.03,71,57,4.34,MX,1698036274
28,qianzhou,28.3167,109.7167,26.13,38,21,1.19,CN,1698036274
29,iqaluit,63.7506,-68.5145,-5.15,67,75,4.12,CA,1698036275
30,edinburgh of the seven seas,-37.0676,-12.3116,12.48,71,88,3.88,SH,1698036275
31,lulea,65.5842,22.1547,-8.96,92,20,3.6,SE,1698036276
32,perry,37.2506,-83.1999,9.4,82,3,1.01,US,1698036180
33,puerto ayora,-0.7393,-90.3518,23.23,84,93,4.66,EC,1698036277
34,papatowai,-46.5619,169.4708,11.82,67,88,3.91,NZ,1698036277
35,waitangi,-43.9535,-176.5597,11.01,70,89,0.89,NZ,1698036278
36,ushuaia,-54.8,-68.3,5.81,70,0,1.03,AR,1698036239
37,igarka,67.4667,86.5833,-1.57,88,89,3.9,RU,1698036279
38,garmisch-partenkirchen,47.4921,11.0958,11.04,96,68,2.56,DE,1698036280
39,al wakrah,24.85,51.3333,26.05,45,0,2.06,QA,1698036281
40,usogorsk,63.4106,48.6872,-0.89,83,100,4.41,RU,1698036281
41,isafjordur,66.0755,-23.124,3.47,80,99,1.46,IS,1698036282
42,nchelenge,-9.3451,28.734,23.67,68,29,2.85,ZM,1698036282
43,vorkuta,67.5,64.0,-11.72,95,75,1.79,RU,1698036283
44,avarua,-21.2078,-159.775,25.03,94,75,2.06,CK,1698036284
45,la'ie,21.6477,-157.9253,26.98,75,39,0.45,US,1698036284
46,lebu,-37.6167,-73.65,9.3,88,3,5.95,CL,1698036286
47,saldanha,-33.0117,17.9442,11.03,80,97,2.71,ZA,1698036286
48,hawaiian paradise park,19.5933,-154.9731,25.73,86,0,3.6,US,1698036287
49,batang,-6.4846,110.7083,30.67,61,76,4.66,ID,1698036287
50,baukau,51.5526,7.2042,11.09,85,23,1.69,DE,1698036288
51,ancud,-41.8697,-73.8203,7.44,90,2,0.37,CL,1698036289
52,fortaleza,-3.7227,-38.5247,28.37,71,40,5.66,BR,1698036169
53,omutinskiy,56.4745,67.6709,-0.83,77,96,7.72,RU,1698036290
54,oranjemund,-28.55,16.4333,15.52,88,38,3.15,NA,1698036291
55,fort mcmurray,56.7268,-111.381,-4.23,63,100,3.09,CA,1698036291
56,egilsstadir,65.2653,-14.3948,3.95,93,100,1.03,IS,1698036292
57,albany,42.6001,-73.9662,6.23,78,100,2.68,US,1698036249
58,severnoye,56.3491,78.3619,-1.01,79,100,8.04,RU,1698036293
59,stanley,54.868,-1.6985,-0.99,100,0,1.03,GB,1698036293
60,chonchi,-42.6128,-73.8092,5.62,95,12,1.75,CL,1698036294
61,olonkinbyen,70.9221,-8.7187,3.24,89,100,5.61,SJ,1698036294
62,chamba,32.5667,76.1333,22.53,37,2,2.22,IN,1698036295
63,kiiminki,65.1314,25.7974,-4.57,100,55,1.43,FI,1698036295
64,afaahiti,-17.75,-149.2833,26.93,84,29,5.84,PF,1698036296
65,dunedin,-45.8742,170.5036,11.67,80,79,5.69,NZ,1698036297
66,kincardine,56.0667,-3.7167,4.21,91,77,1.44,GB,1698036297
67,kismayo,-0.3582,42.5454,27.75,74,9,3.07,SO,1698036298
68,korpilahti,62.0167,25.55,0.62,98,100,1.34,FI,1698036298
69,cristalina,-16.7686,-47.6136,20.87,50,92,2.54,BR,1698036299
70,yulinshi,38.2906,109.7494,18.4,17,55,3.95,CN,1698036299
71,harstad,68.799,16.5293,-0.21,87,11,6.26,NO,1698036300
72,laibin,23.7,109.2667,23.89,70,94,1.26,CN,1698036300
73,datong,40.0936,113.2914,18.21,22,37,5.19,CN,1698036301
74,zabol,32.25,67.25,16.16,27,0,2.95,AF,1698036301
75,yellowknife,62.456,-114.3525,-5.33,96,100,7.2,CA,1698036072
